Index,Name,Latitude,Longitude,NELong,NELat,SWLong,SWLat,Place ID,hasBounds,randomWeight
0,"Alexandra Park, Toronto, ON, Canada",43.6497781,-79.4014566,"(-79.39636949999999,)","(43.652907,)","(-79.4059396,)","(43.6471779,)",ChIJvS5nOd00K4gR3a0jdnldIOA,1,4.080599545
1,"The Annex, Toronto, ON, Canada",43.6698329,-79.407585,"(-79.3941293,)","(43.6771849,)","(-79.4143589,)","(43.665132,)",ChIJwZgtPpg0K4gREoC7SqUeE_A,1,5.137927934
2,"Baldwin Village, Toronto, ON M5T, Canada",43.6560078,-79.3935402,"(-79.3921423,)","(43.6564817,)","(-79.3947601,)","(43.6554686,)",ChIJgcEKacY0K4gRbUFeVSkI1z4,1,1.507853106
3,"Cabbagetown, Toronto, ON, Canada",43.667263,-79.369169,"(-79.35687380000002,)","(43.6725873,)","(-79.3746535,)","(43.6561739,)",ChIJdYNHB1DL1IkRR4sIhNw66-A,1,7.56899
4,"CityPlace, Toronto, ON M5V, Canada",43.6416061,-79.3901975,"(-79.3870354,)","(43.6439327,)","(-79.4012834,)","(43.6365721,)",ChIJPdbpgyc1K4gRCASt_ydVwQw,1,2.81697118
5,"Chinatown, Toronto, ON M5T, Canada",43.650883,-79.397226,"(-79.39655820000002,)","(43.6568323,)","(-79.3998568,)","(43.6499731,)",ChIJxygAeMQ0K4gRFGCU4S0GExE,1,5.965171915
6,"Church and Wellesley, Toronto, ON, Canada",43.6645421,-79.3817523,"(-79.3751541,)","(43.669974,)","(-79.386071,)","(43.657463,)",ChIJ8zs2UrM0K4gRKpHh0zSWYx8,1,5.142005974
7,"Corktown, Toronto, ON M5A, Canada",43.654787,-79.359932,"(-79.3558789,)","(43.6573782,)","(-79.36450479999999,)","(43.651603,)",ChIJX8icuz_L1IkRStKuL-A6qVA,1,7.08770421
8,"Discovery District, Toronto, ON, Canada",43.6603242,-79.3937162,"(-79.3843102,)","(43.6630908,)","(-79.4005321,)","(43.6557481,)",ChIJY9gBJ8g0K4gRwfKR3nQauiI,1,3.153105336
9,"The Distillery District, Toronto, ON M5A, Canada",43.6503055,-79.35958,"(-79.35685529999999,)","(43.651717,)","(-79.3621981,)","(43.6493671,)",ChIJCcYBxz3L1IkRFmpW29wp58M,1,1.453937669
10,"Entertainment District, Toronto, ON, Canada",43.6426611,-79.3887901,"(-79.37785149999999,)","(43.65082659999999,)","(-79.3964338,)","(43.6387773,)",ChIJpR7eNNA0K4gRERWq2YHrmxc,1,8.392964661
11,"East Bayfront, Toronto, ON, Canada",43.6458246,-79.3655635,"(-79.36021319999999,)","(43.6481871,)","(-79.3701696,)","(43.6426282,)",ChIJBUi_8yTL1IkRGFOgIuGt770,1,3.583563385
12,"Fashion District, Toronto, ON, Canada",43.644769,-79.398642,"(-79.391284,)","(43.6493361,)","(-79.4041156,)","(43.6407028,)",ChIJvasITNo0K4gRslmD8YJqeBc,1,8.717359544
